place,lac,ci,lon,lat,2G_3G,people
MY5031A1_绵阳市政府-0,33111,21044,104.676356,31.469935,2,0.5
MY0358A1_绵阳丰谷镇-1,33111,2131,104.81513,31.35773,2,2
MY0358B1_绵阳丰谷镇-2,33111,2132,104.81513,31.35773,2,1
MY0358C1_绵阳丰谷镇-3,33111,2133,104.81513,31.35773,2,1
MY0403A1_绵阳浣花宾馆-1,33111,30024,104.70422,31.46291,2,0.5
MY0403B1_绵阳浣花宾馆-2,33111,30025,104.70422,31.46291,2,0.5
MY0403C1_绵阳浣花宾馆-3,33111,30026,104.70422,31.46291,2,0.5
MY5049A1_室分_绵阳园艺太阳城二期-1,33111,30454,104.69065,31.48535,2,0.5
MY5049B1_室分_绵阳园艺太阳城二期-2,33111,30455,104.69065,31.48535,2,0.5
MY5029A1_室分_绵阳绵阳卓信龙隐-1,33111,30514,104.6778,31.4894,2,3
MY5059A1_室分_绵阳川西北地质大队住宅楼-1,33111,30624,104.71611,31.46333,2,0.5
MY5059B1_室分_绵阳川西北地质大队住宅楼-2,33111,30625,104.71611,31.46333,2,0.5
MY5059C1_室分_绵阳川西北地质大队住宅楼-3,33111,30626,104.71611,31.46333,2,0.5
MY0464A1_绵阳青义-1,33111,34471,104.70232,31.5539,2,0.5
MY0464B1_绵阳青义-2,33111,34472,104.70232,31.5539,2,18
MY0464C1_绵阳青义-3,33111,34473,104.70232,31.5539,2,0.5
MY0413A1_绵阳金峰-1,33111,36121,104.63877,31.3418,2,1
MY0413B1_绵阳金峰-2,33111,36122,104.63877,31.3418,2,0.5
MY0413C1_绵阳金峰-3,33111,36123,104.63877,31.3418,2,1
MY0599A1_绵阳玉皇-1,33111,36131,104.70101,31.29444,2,2
MY0599B1_绵阳玉皇-2,33111,36132,104.70101,31.29444,2,2
MY0599C1_绵阳玉皇-3,33111,36133,104.70101,31.29444,2,0.5
MY0570A1_绵阳杨家-1,33111,36211,104.71875,31.33906,2,2
MY0570B1_绵阳杨家-2,33111,36212,104.71875,31.33906,2,2
MY0570C1_绵阳杨家-3,33111,36213,104.71875,31.33906,2,2
MY0414A1_绵阳金家岭-1,33111,38011,104.65244,31.50904,2,0.5
MY0414B1_绵阳金家岭-2,33111,38012,104.65244,31.50904,2,0.5
MY0414C1_绵阳金家岭-3,33111,38013,104.65244,31.50904,2,0.5
MY0355A1_绵阳飞来石桥-1,33111,38051,104.71973,31.44848,2,0.5
MY0355B1_绵阳飞来石桥-2,33111,38052,104.71973,31.44848,2,3
MY0355C1_绵阳飞来石桥-3,33111,38053,104.71973,31.44848,2,0.5
MY0337A1_绵阳川大校区-1,33111,40014,104.65148,31.45936,2,2
MY0337B1_绵阳川大校区-2,33111,40015,104.65148,31.45936,2,6
MY0337C1_绵阳川大校区-3,33111,40016,104.65148,31.45936,2,6
MY0528A1_绵阳温州商业区-1,33111,40034,104.66098,31.47107,2,6
MY0528B1_绵阳温州商业区-2,33111,40035,104.66098,31.47107,2,6
MY0528C1_绵阳温州商业区-3,33111,40036,104.66098,31.47107,2,0.5
MY0436A1_绵阳丽景花城-1,33111,40054,104.70848,31.45715,2,1
MY0436B1_绵阳丽景花城-2,33111,40055,104.70848,31.45715,2,0.5
MY0436C1_绵阳丽景花城-3,33111,40056,104.70848,31.45715,2,0.5
MY0561A1_绵阳新皂驾校-1,33111,40064,104.63927,31.42501,2,1
MY0561B1_绵阳新皂驾校-2,33111,40065,104.63927,31.42501,2,6
MY0561C1_绵阳新皂驾校-3,33111,40066,104.63927,31.42501,2,0.5
MY0460A1_绵阳普明后街-1,33111,40094,104.67728,31.47588,2,3
MY0460B1_绵阳普明后街-2,33111,40095,104.67728,31.47588,2,3
MY0460C1_绵阳普明后街-3,33111,40096,104.67728,31.47588,2,0.5
MY0470A1_绵阳群丰村-1,33111,40104,104.79483,31.37743,2,0.5
MY0470B1_绵阳群丰村-2,33111,40105,104.79483,31.37743,2,5
MY0470C1_绵阳群丰村-3,33111,40106,104.79483,31.37743,2,5
MY0603A1_绵阳园艺-1,33111,4011,104.70053,31.47748,2,5
MY0603B1_绵阳园艺-2,33111,4012,104.70053,31.47748,2,0.5
MY0603C1_绵阳园艺-3,33111,4013,104.70053,31.47748,2,0.5
MY0538A1_绵阳西工院-1,33111,4021,104.68267,31.53535,2,0.5
MY0538B1_绵阳西工院-2,33111,4022,104.68267,31.53535,2,5
MY0538C1_绵阳西工院-3,33111,4023,104.68267,31.53535,2,0.5
MY0365A1_绵阳涪城吴家粮站-1,33111,40231,104.69562,31.39029,2,3
MY0365B1_绵阳涪城吴家粮站-2,33111,40232,104.69562,31.39029,2,3
MY0365C1_绵阳涪城吴家粮站-3,33111,40233,104.69562,31.39029,2,3
MY0538A1_绵阳西科大高速2-1,33111,4024,104.679758,31.53529,2,0.5
MY0538B1_绵阳西科大高速2-2,33111,4025,104.679758,31.53529,2,0.5
MY0530A1_绵阳文竹街-1,33111,4031,104.72085,31.46094,2,0.5
MY0530B1_绵阳文竹街-2,33111,4032,104.72085,31.46094,2,5
MY0530C1_绵阳文竹街-3,33111,4033,104.72085,31.46094,2,0.5
MY0452A1_绵阳磨家-1,33111,4211,104.60226,31.45084,2,1
MY0452B1_绵阳磨家-2,33111,4212,104.60226,31.45084,2,1
MY0452C1_绵阳磨家-3,33111,4213,104.60226,31.45084,2,0.5
MY0533A1_绵阳吴家镇-1,33111,4231,104.72627,31.39636,2,1
MY0533B1_绵阳吴家镇-2,33111,4232,104.72627,31.39636,2,1
MY0533C1_绵阳吴家镇-3,33111,4233,104.72627,31.39636,2,2
MY0469A1_绵阳秋家庙-1,33111,43024,104.59864,31.46547,2,8
MY0469B1_绵阳秋家庙-2,33111,43025,104.59864,31.46547,2,8
MY0469C1_绵阳秋家庙-3,33111,43026,104.59864,31.46547,2,8
MY0442A1_绵阳龙门-1,33111,43034,104.66023,31.58544,2,8
MY0442B1_绵阳龙门-2,33111,43035,104.66023,31.58544,2,8
MY0442C1_绵阳龙门-3,33111,43036,104.66023,31.58544,2,8
MY0566A1_绵阳燕尔河水库-1,33111,43044,104.67574,31.36842,2,8
MY0566B1_绵阳燕尔河水库-2,33111,43045,104.67574,31.36842,2,8
MY0566C1_绵阳燕尔河水库-3,33111,43046,104.67574,31.36842,2,5
MY0531A1_绵阳吴家环卫车队-1,33111,43084,104.72167,31.4205,2,6
MY0531B1_绵阳吴家环卫车队-2,33111,43085,104.72167,31.4205,2,1
MY0531C1_绵阳吴家环卫车队-3,33111,43086,104.72167,31.4205,2,6
MY0340A1_绵阳川主庙-1,33111,43104,104.74232,31.37976,2,6
MY0340B1_绵阳川主庙-2,33111,43105,104.74232,31.37976,2,6
MY0340C1_绵阳川主庙-3,33111,43106,104.74232,31.37976,2,3
MY0352A1_绵阳樊华建设-1,33111,5011,104.69156,31.46669,2,3
MY0352B1_绵阳樊华建设-2,33111,5012,104.69156,31.46669,2,0.5
MY0352C1_绵阳樊华建设-3,33111,5013,104.69156,31.46669,2,3
MY0385A1_绵阳关帝字库-1,33111,50144,104.75016,31.33171,2,0.5
MY0385B1_绵阳关帝字库-2,33111,50145,104.75016,31.33171,2,3
MY0385C1_绵阳关帝字库-3,33111,50146,104.75016,31.33171,2,0.5
MY0448A1_绵阳梅花西街-1,33111,50194,104.70653,31.46109,2,1
MY0448B1_绵阳梅花西街-2,33111,50195,104.70653,31.46109,2,0.5
MY0448C1_绵阳梅花西街-3,33111,50196,104.70653,31.46109,2,1
